id_localisation;Ville;Pays
501;NULL;NULL
502;Lyon;FR
503;Lyon;FR
504;Lyon;FR
505;Lyon;FR
506;Lyon;FR
507;Lyon;FR
508;Lyon;FR
509;Lyon;FR
510;Ã\x89cully;FR
511;Lyon Area;France
512;Lyon;FR
513;Gradignan;FR
514;Lyon;FR
515;Lyon;FR
516;Saint-Maurice-sur-Dargoire;FR
517;Lille;FR
518;Lyon;FR
519;NULL;NULL
520;Lyon;FR
521;Lyon;FR
522;Lyon;FR
523;Lyon;FR
524;Lyon;FR
525;Lyon;FR
526;Sainte-Julie;FR
527;Lyon;FR
528;Lyon;FR
529;Lyon;FR
530;Ã\x89cully;FR
531;Limonest;FR
532;Limonest;FR
533;Lyon 03;FR
534;Lyon;FR
535;NULL;NULL
536;Lyon;FR
537;NULL;NULL
538;Lyon;FR
539;Lyon;FR
540;Lyon Area;France
541;Lyon;FR
542;Nice;FR
543;Lyon;FR
544;Lyon;FR
545;Lyon;FR
546;Lyon;FR
547;Lyon;FR
548;Lyon;FR
549;Lyon 06;FR
550;Lyon;FR
551;Lyon;FR
552;Lyon;FR
553;Lyon;FR
554;Lyon;FR
555;Saint-Maurice-sur-Dargoire;FR
556;Lyon;FR
557;Lyon;FR
558;Lyon;FR
559;Lyon;FR
560;Lyon;FR
561;RÃ©gion de Paris;France
562;Paris Area;France
563;Bezons;FR
564;Fontenay-sous-Bois;FR
565;NULL;NULL
566;NULL;NULL
567;Lyon;FR
568;Saint-Priest;FR
569;Lyon;FR
570;Lyon;FR
571;Limonest;FR
